filename,citing_opinion_id,court,docket_id,cluster_id,cited_opinion_id,overruled,opinion_types,opinion_sources,citing_name_short,citing_name,citing_name_full,cited_ref_names,cited_cluster_id,cited_name_short,cited_name,cited_name_full,cited_citations
0001.91306_cites_88061.txt,91306,scotus,2297559,91306,88061,yes,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,"['White', '7 Wall. 700']",88061,White,Texas v. White,Texas v. White Et Al.,"['74 U.S. 700', '19 L. Ed. 227', '7 Wall. 700', '1868 U.S. LEXIS 1056']"
0002.91306_cites_88994.txt,91306,scotus,2297559,91306,88994,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,"['21 Wall. 138', '21 Wall. 138, 142']",88994,,Vermilye & Co. v. Adams Express Co.,Vermilye & Co. v. Adams Express Company,"['88 U.S. 138', '22 L. Ed. 609', '21 Wall. 138', '1874 U.S. LEXIS 1350']"
0003.91306_cites_87633.txt,91306,scotus,2297559,91306,87633,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,['2 Wall. 110'],87633,Murray,Murray v. Lardner,Murray v. Lardner,"['69 U.S. 110', '17 L. Ed. 857', '2 Wall. 110', '1864 U.S. LEXIS 414']"
0004.91306_cites_88240.txt,91306,scotus,2297559,91306,88240,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,"['10 Wall. 68', 'Hardenberg']",88240,Hardenberg,Texas v. Hardenberg,Texas v. Hardenberg,"['77 U.S. 68', '19 L. Ed. 839', '10 Wall. 68', '1869 U.S. LEXIS 1046']"
0005.91306_cites_88693.txt,91306,scotus,2297559,91306,88693,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,['16 Wall. 402'],88693,Huntington,Huntington v. Texas,Huntington v. Texas; Texas v. Huntington,"['83 U.S. 402', '21 L. Ed. 316', '16 Wall. 402', '1872 U.S. LEXIS 1171']"
0006.91306_cites_88924.txt,91306,scotus,2297559,91306,88924,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,['20 Wall. 72'],88924,,National Bank of Washington v. Texas,National Bank of Washington v. Texas,"['87 U.S. 72', '22 L. Ed. 295', '20 Wall. 72', '1873 U.S. LEXIS 1489']"
0007.91306_cites_89668.txt,91306,scotus,2297559,91306,89668,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,"['96 U. S. 51, 58']",89668,Cromwell,Cromwell v. County of Sac,Cromwell v. County of Sac; County of Sac v. Cromwell,"['96 U.S. 51', '24 L. Ed. 681', '1877 U.S. LEXIS 1625']"
0008.91306_cites_90400.txt,91306,scotus,2297559,91306,90400,no,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION,['103 U. S. 756'],90400,Sprague,Railroad Co. v. Sprague,Railway Company v. Sprague,"['103 U.S. 756', '26 L. Ed. 554', '1880 U.S. LEXIS 2194']"
0009.92059_cites_91368.txt,92059,scotus,96842,92059,91368,no,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],In Re Ayers,In Re Ayers,In RE AYERS; IN RE SCOTT; IN RE McCABE,"['114 U.S. 270', '114 U.S. 273', '114 U.S. 270, 287', '114 U.S. 270', '114 U.S. 270, 287', 'MISSING', '114 U.S. 273', '114 U.S. 270']",91368,Poindexter,Poindexter v. Greenhow,"POINDEXTER v. GREENHOW, Treasurer","['114 U.S. 270', '5 S. Ct. 903', '29 L. Ed. 185', '1885 U.S. LEXIS 1759']"
0010.92059_cites_91371.txt,92059,scotus,96842,92059,91371,no,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],In Re Ayers,In Re Ayers,In RE AYERS; IN RE SCOTT; IN RE McCABE,"['114 U.S. 311', '114 U.S. 311', 'MISSING', '114 U.S. 311']",91371,Allen,Allen v. Baltimore & Ohio Railroad,"ALLEN, Auditor, & Another v. BALTIMORE & OHIO RAILROAD COMPANY","['114 U.S. 311', '5 S. Ct. 925', '29 L. Ed. 200', '1885 U.S. LEXIS 1762']"
